,Year,Origin State,Material Group Description,Material Description,Purchased Quantity LB,Purchased Value $
0,2011,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ,1912042.5,4393252.2
1,2011,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ,3371850.0,6189008.0
2,2011,AK,"FISH, FROZEN",FISH AK PLCK FRZ BULK CTN-49 LBS,1759296.0,2726908.8
3,2011,AL,"CHICKEN, FROZEN",CHICKEN CUT-UP FRZ CTN-40 LB,320000.0,239952.0
4,2011,AL,"CHICKEN, BULK",CHICKEN SMALL CHILLED -BULK,1440000.0,1047960.0
5,2011,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,28908000.0,20563408.0
6,2011,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,5031000.0,9549391.0
7,2011,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,18649800.0,13798608.45
8,2011,AR,"RICE, GRAIN",RICE BRN L PRBL,1302000.0,810948.6
9,2011,AR,"RICE, GRAIN",RICE BRN US#1 LONG PARBOILED BAG-25 LB ,420000.0,267615.6
10,2011,AR,"RICE, GRAIN",RICE BRN US#1 LONG PARBOILED PKG-24/2 LB ,1470000.0,959736.94
11,2011,AR,"RICE, GRAIN",RICE BRN US#1 LONG PARBOILED PKG-30/2 LB ,504000.0,338658.6
12,2011,AR,"RICE, GRAIN","RICE, PARBOILED",672000.0,291009.61
13,2011,AR,"RICE, GRAIN",RICE US#1 LONG GRAIN PARBOILED BAG-25 LB ,840000.0,295453.21
14,2011,AR,"RICE, GRAIN",RICE US#1 LONG GRAIN PARBOILED BAG-50 LB ,42000.0,13981.8
15,2011,AR,"RICE, GRAIN",RICE-MLD US#2 L,7392000.0,2933049.0
16,2011,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN BAG-25 LB ,588000.0,168254.51
17,2011,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN PKG-24/2 LB ,4116000.0,1420641.6
18,2011,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN PKG-30/2 LB ,2688000.0,929271.01
19,2011,AR,"RICE, GRAIN",RICE-MLD US#2 M,1386000.0,690039.0
20,2011,AR,"RICE, GRAIN",RICE US#2 MEDIUM GRAIN PKG-24/2 LB ,420000.0,173485.2
21,2011,AR,"RICE, GRAIN",RICE US#2 MEDIUM GRAIN PKG-30/2 LB ,210000.0,92194.2
