Year,Origin State,Material Group Description,Material Description,Purchased Quantity LB,Purchased Value $
2022,AK,"FISH, CANNED",K SALMON PINK CAN-24/14.75 OZ (33630),269040.0,827837.6
2022,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ (33630),1008900.0,3003200.8
2022,AK,"FISH, CANNED",SALMON RED CAN-24/14.75 OZ,739860.0,4986664.0
2022,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ (33630),571710.0,1748912.0
2022,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ (33630),14326380.0,45362971.2
2022,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ (33630),100890.0,333108.0
2022,AK,"FISH, CANNED",K SALMON PINK CAN-24/14.75 OZ (33630),134520.0,423578.4
2022,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ (33630),1210680.0,3796156.25
2022,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ (33630),33630.0,105944.0
2022,AK,"FISH, CANNED",K SALMON PINK CAN-24/14.75 OZ (33630),33630.0,106612.8
2022,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ (33630),134520.0,429840.8
2022,AK,"FISH, CANNED",SALMON RED CAN-24/14.75 OZ,201780.0,1223448.0
2022,AK,"FISH, CANNED",SALMON RED CAN-24/14.75 OZ,3161220.0,19002128.0
2022,AK,"FISH, FROZEN",SALMON FILLETS WILD FRZ PKG-40/1 LB,216000.0,2666232.0
2022,AK,"FISH, FROZEN",PACIFIC ROCKFISH FILLETS FRZ PKG-20/2 LB,288000.0,1291770.0
2022,AL,"CHICKEN, COOKED",CHICKEN STRIPS FRZ CTN-30 LB,429000.0,1887600.0
2022,AL,"CHICKEN, COOKED",CHICKEN STRIPS FRZ CTN-30 LB,1209000.0,5319600.0
2022,AL,"CHICKEN, COOKED",CHICKEN FILLETS UNBRD FRZ CTN-30 LB,702000.0,3088800.0
2022,AL,"CHICKEN, COOKED",CHICKEN STRIPS FRZ CTN-30 LB,600.0,2879.4
2022,AL,"CHICKEN, COOKED",CHICKEN FILLETS UNBRD FRZ CTN-30 LB,30.0,143.97
